script	cell	pad	frac	cut	i	gold	doc_tokens	needle_start	needle_end	needle_tokens	realized_frac	delta_vs_label
diagnostic	C_length	1000	1.0	1000	1	technical	1014	1000	1014	14	0.9862	0
diagnostic	C_length	1000	1.0	1000	2	sales	1015	1000	1015	15	0.9852	0
diagnostic	C_length	1000	1.0	1000	3	billing	1015	1000	1015	15	0.9852	0
diagnostic	C_length	1000	1.0	1000	4	technical	1017	1000	1017	17	0.9833	0
diagnostic	C_length	1000	1.0	1000	5	sales	1014	1000	1014	14	0.9862	0
diagnostic	C_length	1000	1.0	1000	6	billing	1020	1000	1020	20	0.9804	0
diagnostic	C_length	1000	1.0	1000	7	technical	1012	1000	1012	12	0.9881	0
diagnostic	C_length	1000	1.0	1000	8	sales	1015	1000	1015	15	0.9852	0
diagnostic	C_length	1000	1.0	1000	9	billing	1022	1000	1022	22	0.9785	0
diagnostic	C_length	1000	1.0	1000	10	technical	1013	1000	1013	13	0.9872	0
diagnostic	C_length	1000	1.0	1000	11	billing	1021	1000	1021	21	0.9794	0
diagnostic	C_length	1000	1.0	1000	12	technical	1014	1000	1014	14	0.9862	0
diagnostic	C_length	1000	1.0	1000	13	billing	1015	1000	1015	15	0.9852	0
diagnostic	C_length	1000	1.0	1000	14	technical	1015	1000	1015	15	0.9852	0
diagnostic	C_length	1000	1.0	1000	15	sales	1012	1000	1012	12	0.9881	0
diagnostic	C_length	1000	1.0	1000	16	billing	1025	1000	1025	25	0.9756	0
diagnostic	C_length	1000	1.0	1000	17	technical	1016	1000	1016	16	0.9843	0
diagnostic	C_length	1000	1.0	1000	18	billing	1016	1000	1016	16	0.9843	0
diagnostic	C_length	1000	1.0	1000	19	billing	1024	1000	1024	24	0.9766	0
diagnostic	C_length	2000	1.0	2000	0	billing	2018	2000	2018	18	0.9911	0
diagnostic	C_length	2000	1.0	2000	1	technical	2014	2000	2014	14	0.993	0
diagnostic	C_length	2000	1.0	2000	2	sales	2015	2000	2015	15	0.9926	0
diagnostic	C_length	2000	1.0	2000	3	billing	2015	2000	2015	15	0.9926	0
diagnostic	C_length	2000	1.0	2000	4	technical	2017	2000	2017	17	0.9916	0
diagnostic	C_length	2000	1.0	2000	5	sales	2014	2000	2014	14	0.993	0
diagnostic	C_length	2000	1.0	2000	6	billing	2020	2000	2020	20	0.9901	0
diagnostic	C_length	2000	1.0	2000	7	technical	2012	2000	2012	12	0.994	0
diagnostic	C_length	2000	1.0	2000	8	sales	2015	2000	2015	15	0.9926	0
diagnostic	C_length	2000	1.0	2000	9	billing	2022	2000	2022	22	0.9891	0
diagnostic	C_length	2000	1.0	2000	10	technical	2013	2000	2013	13	0.9935	0
diagnostic	C_length	2000	1.0	2000	11	billing	2021	2000	2021	21	0.9896	0
diagnostic	C_length	2000	1.0	2000	12	technical	2014	2000	2014	14	0.993	0
diagnostic	C_length	2000	1.0	2000	13	billing	2015	2000	2015	15	0.9926	0
diagnostic	C_length	2000	1.0	2000	14	technical	2015	2000	2015	15	0.9926	0
diagnostic	C_length	2000	1.0	2000	15	sales	2012	2000	2012	12	0.994	0
diagnostic	C_length	2000	1.0	2000	16	billing	2025	2000	2025	25	0.9877	0
diagnostic	C_length	2000	1.0	2000	17	technical	2016	2000	2016	16	0.9921	0
diagnostic	C_length	2000	1.0	2000	18	billing	2016	2000	2016	16	0.9921	0
diagnostic	C_length	2000	1.0	2000	19	billing	2024	2000	2024	24	0.9881	0
diagnostic	C_length	4000	1.0	4000	0	billing	4018	4000	4018	18	0.9955	0
diagnostic	C_length	4000	1.0	4000	1	technical	4014	4000	4014	14	0.9965	0
diagnostic	C_length	4000	1.0	4000	2	sales	4015	4000	4015	15	0.9963	0
diagnostic	C_length	4000	1.0	4000	3	billing	4015	4000	4015	15	0.9963	0
diagnostic	C_length	4000	1.0	4000	4	technical	4017	4000	4017	17	0.9958	0
diagnostic	C_length	4000	1.0	4000	5	sales	4014	4000	4014	14	0.9965	0
diagnostic	C_length	4000	1.0	4000	6	billing	4020	4000	4020	20	0.995	0
diagnostic	C_length	4000	1.0	4000	7	technical	4012	4000	4012	12	0.997	0
diagnostic	C_length	4000	1.0	4000	8	sales	4015	4000	4015	15	0.9963	0
diagnostic	C_length	4000	1.0	4000	9	billing	4022	4000	4022	22	0.9945	0
diagnostic	C_length	4000	1.0	4000	10	technical	4013	4000	4013	13	0.9968	0
diagnostic	C_length	4000	1.0	4000	11	billing	4021	4000	4021	21	0.9948	0
diagnostic	C_length	4000	1.0	4000	12	technical	4014	4000	4014	14	0.9965	0
diagnostic	C_length	4000	1.0	4000	13	billing	4015	4000	4015	15	0.9963	0
diagnostic	C_length	4000	1.0	4000	14	technical	4015	4000	4015	15	0.9963	0
diagnostic	C_length	4000	1.0	4000	15	sales	4012	4000	4012	12	0.997	0
diagnostic	C_length	4000	1.0	4000	16	billing	4025	4000	4025	25	0.9938	0
diagnostic	C_length	4000	1.0	4000	17	technical	4016	4000	4016	16	0.996	0
diagnostic	C_length	4000	1.0	4000	18	billing	4016	4000	4016	16	0.996	0
diagnostic	C_length	4000	1.0	4000	19	billing	4024	4000	4024	24	0.994	0
diagnostic	C_length	7000	1.0	7000	0	billing	7018	7000	7018	18	0.9974	0
diagnostic	C_length	7000	1.0	7000	1	technical	7014	7000	7014	14	0.998	0
diagnostic	C_length	7000	1.0	7000	2	sales	7015	7000	7015	15	0.9979	0
diagnostic	C_length	7000	1.0	7000	3	billing	7015	7000	7015	15	0.9979	0
diagnostic	C_length	7000	1.0	7000	4	technical	7017	7000	7017	17	0.9976	0
diagnostic	C_length	7000	1.0	7000	5	sales	7014	7000	7014	14	0.998	0
diagnostic	C_length	7000	1.0	7000	6	billing	7020	7000	7020	20	0.9972	0
diagnostic	C_length	7000	1.0	7000	7	technical	7012	7000	7012	12	0.9983	0
diagnostic	C_length	7000	1.0	7000	8	sales	7015	7000	7015	15	0.9979	0
diagnostic	C_length	7000	1.0	7000	9	billing	7022	7000	7022	22	0.9969	0
diagnostic	C_length	7000	1.0	7000	10	technical	7013	7000	7013	13	0.9981	0
diagnostic	C_length	7000	1.0	7000	11	billing	7021	7000	7021	21	0.997	0
diagnostic	C_length	7000	1.0	7000	12	technical	7014	7000	7014	14	0.998	0
diagnostic	C_length	7000	1.0	7000	13	billing	7015	7000	7015	15	0.9979	0
diagnostic	C_length	7000	1.0	7000	14	technical	7015	7000	7015	15	0.9979	0
diagnostic	C_length	7000	1.0	7000	15	sales	7012	7000	7012	12	0.9983	0
diagnostic	C_length	7000	1.0	7000	16	billing	7025	7000	7025	25	0.9964	0
diagnostic	C_length	7000	1.0	7000	17	technical	7016	7000	7016	16	0.9977	0
diagnostic	C_length	7000	1.0	7000	18	billing	7016	7000	7016	16	0.9977	0
diagnostic	C_length	7000	1.0	7000	19	billing	7024	7000	7024	24	0.9966	0
